id,nombre,categoria,n_comparten,marcas_en_grupo,imagen
229,Broca Acero 8.0mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
230,Broca Acero 8.5mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
231,Broca Acero 9.0mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
232,Broca Acero Hss 20.0 MM,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
241,Broca Hss 4mm,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
242,Broca Hss 5mm,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
243,Broca Metal 11mm,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
1690,Broca 12mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
1695,Broca Acero 3.5mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
1697,Broca Acero 7.0mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
1510,Tub Cuad Neg 25 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1511,Tub Cuad Neg 30 x 1.5 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1512,Tub Cuad Neg 30 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1513,Tub Cuad Neg 40 x 1.5 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
1514,Tub Cuad Neg 40 x 2.0 MM,Perfiles y Planchas,27,,https://http2.mlstatic.com/D_NP_2X_966632-MLC69537510626_052023-E.webp
